iter	Passed	Remaining
0	98	98548
1	172	86259
2	245	81453
3	288	71876
4	325	64750
5	363	60194
6	389	55289
7	416	51599
8	437	48138
9	463	45848
10	492	44285
11	521	42906
12	553	42051
13	602	42458
14	628	41269
15	650	39987
16	674	38973
17	700	38204
18	723	37340
19	744	36474
20	961	44843
21	998	44395
22	1026	43588
23	1048	42650
24	1074	41894
25	1096	41086
26	1117	40275
27	1139	39571
28	1161	38897
29	1188	38430
30	1213	37927
31	1234	37351
32	1256	36804
33	1282	36424
34	1303	35948
35	1325	35503
36	1345	35030
37	1369	34671
38	1393	34335
39	1437	34502
40	1504	35191
41	1557	35515
42	1588	35348
43	1614	35076
44	1643	34869
45	1667	34583
46	1690	34277
47	1713	33976
48	1732	33632
49	1754	33330
50	1775	33041
51	1799	32807
52	1822	32561
53	1854	32488
54	1884	32370
55	1905	32128
56	1927	31890
57	1951	31692
58	2029	32366
59	2059	32258
60	2112	32511
61	2139	32366
62	2161	32151
63	2186	31982
64	2208	31771
65	2230	31571
66	2259	31470
67	2286	31343
68	2309	31159
69	2331	30972
70	2351	30774
71	2374	30598
72	2395	30422
73	2417	30245
74	2440	30103
75	2471	30046
76	2524	30264
77	2549	30141
78	2573	30002
79	2598	29879
80	2620	29733
81	2644	29600
82	2674	29544
83	2703	29480
84	2726	29350
85	2748	29212
86	2772	29097
87	2795	28974
88	2816	28834
89	2838	28702
90	2874	28711
91	2902	28645
92	2924	28526
93	2947	28408
94	2970	28297
95	2995	28204
96	3075	28634
97	3118	28702
98	3160	28765
99	3206	28858
100	3234	28793
101	3263	28728
102	3291	28668
103	3325	28651
104	3356	28614
105	3385	28555
106	3416	28512
107	3453	28520
108	3501	28621
109	3617	29266
110	3696	29607
111	3762	29827
112	3789	29745
113	3816	29664
114	3841	29561
115	3865	29455
116	3888	29347
117	3909	29220
118	3932	29110
119	3956	29017
120	3988	28974
121	4014	28889
122	4036	28779
123	4059	28678
124	4135	28947
125	4173	28952
126	4206	28913
127	4239	28881
128	4263	28789
129	4288	28701
130	4312	28608
131	4334	28505
132	4357	28404
133	4387	28356
134	4417	28303
135	4445	28244
136	4474	28184
137	4496	28088
138	4518	27988
139	4540	27892
140	4562	27796
141	4592	27749
142	4624	27711
143	4656	27678
144	4681	27603
145	4703	27514
146	4725	27423
147	4749	27339
148	4774	27269
149	4799	27198
150	4823	27120
151	4850	27063
152	4878	27006
153	4900	26918
154	4922	26834
155	4945	26753
156	4970	26687
157	4994	26617
158	5016	26534
159	5043	26476
160	5068	26414
161	5092	26343
162	5114	26263
163	5200	26508
164	5230	26471
165	5263	26442
166	5296	26417
167	5320	26347
168	5341	26267
169	5365	26196
170	5391	26139
171	5412	26057
172	5436	25986
173	5460	25919
174	5488	25874
175	5515	25820
176	5537	25747
177	5560	25679
178	5586	25625
179	5608	25551
180	5630	25479
181	5658	25432
182	5691	25410
183	5720	25370
184	5766	25405
185	5829	25511
186	5870	25521
187	5897	25471
188	5924	25419
189	5949	25363
190	5973	25301
191	5997	25240
192	6020	25172
193	6040	25095
194	6061	25024
195	6086	24965
196	6107	24894
197	6136	24855
198	6161	24800
199	6215	24860
200	6243	24820
201	6277	24798
202	6312	24783
203	6341	24745
204	6367	24693
205	6390	24630
206	6412	24564
207	6433	24496
208	6455	24431
209	6476	24363
210	6498	24299
211	6521	24240
212	6548	24197
213	6582	24176
214	6624	24187
215	6679	24245
216	6735	24303
217	6787	24346
218	6835	24377
219	6899	24460
220	6922	24401
221	6945	24339
222	6975	24306
223	7006	24271
224	7037	24238
225	7065	24198
226	7098	24171
227	7123	24119
228	7155	24091
229	7197	24097
230	7283	24245
231	7323	24242
232	7354	24209
233	7392	24198
