id,predictions
0,0.09797132
1,0.1108484
2,0.13296756
3,114.84747
4,425.24744
5,947.13434
6,2070.481
7,3020.235
8,2742.0574
9,2468.6655
10,2749.5156
11,2970.6782
12,2312.812
13,2625.3667
14,2352.4072
15,1701.2883
16,1152.2078
17,612.23975
18,237.66415
19,13.633286
20,0.36174226
21,0.0654593
22,0.0
23,0.03828868
24,0.0
25,0.0
26,0.0
27,238.08768
28,892.90796
29,1420.4182
30,2257.0908
31,2806.7346
32,3640.9734
33,3811.5024
34,3662.73
35,3476.8115
36,3378.8901
37,3478.2983
38,3064.2607
39,2567.1323
40,1787.2573
41,945.5907
42,481.95386
43,88.89272
44,4.6739492
45,2.6874573
46,0.0
47,0.45502406
48,1.1330264
49,0.2802918
50,37.209633
51,305.7978
52,788.64526
53,1515.9363
54,2402.919
55,3622.7524
56,4322.365
57,4718.3096
58,4741.049
59,4553.798
60,4203.317
61,3775.9119
62,3147.935
63,2137.0732
64,1331.2949
65,751.2147
66,371.6912
67,131.25871
68,0.0
69,0.16659255
70,0.15788214
71,0.24067788
72,0.08809295
73,0.12100232
74,24.808498
75,187.40207
76,494.16623
77,1402.6414
78,2802.3247
79,3624.6255
80,4068.9873
81,3744.0361
82,3774.0396
83,3620.9731
84,3108.2656
85,2778.3784
86,2908.24
87,2605.8965
88,1845.1228
89,660.3274
90,232.5661
91,168.54532
92,1.2349111
93,0.4217359
94,0.0
95,0.0
96,0.013835594
97,0.16268331
98,103.36443
99,291.46606
100,655.4057
101,1681.706
102,2840.2693
103,3726.0884
104,4489.2637
105,4627.1494
106,4743.886
107,4698.5747
108,4547.616
109,3875.1753
110,3430.0376
111,2939.8057
112,1796.9268
113,1016.5502
114,429.7968
115,176.26848
116,21.696468
117,0.0
118,0.24409083
119,0.0
120,0.0
121,0.2041664
122,56.251656
123,262.50583
124,637.39966
125,1459.2896
126,2565.7964
127,3702.5361
128,4182.6855
129,3915.967
130,3523.2422
131,3222.7915
132,3042.8496
133,3228.4824
134,3088.354
135,2562.5532
136,1650.4128
137,870.9391
138,414.06787
139,176.65607
140,29.825287
141,0.0
142,0.0
143,0.13750786
144,0.24277155
145,0.23963405
146,86.80437
147,330.14178
148,640.63837
149,1541.1057
150,2637.795
151,3829.5007
152,4346.1445
153,4612.4917
154,4449.337
155,4145.42
156,3728.6409
157,3494.051
158,3205.0854
159,2517.2039
160,1712.4912
161,845.5346
162,450.31265
163,181.2238
164,20.310968
165,0.0
166,0.18481949
167,0.19556043
168,0.16127759
169,0.14616883
170,0.0
171,91.457
172,162.63432
173,248.72997
174,248.75803
175,360.5122
176,489.56152
177,833.3595
178,859.2561
179,1413.4625
180,1700.8447
181,2027.3213
182,2101.1304
183,1975.9265
184,1127.6436
185,613.1254
186,236.30573
187,112.37112
188,3.5020547
189,0.0
190,0.1466353
191,0.28062767
192,0.23277986
193,0.25221798
194,108.380394
195,211.37827
196,366.95184
197,808.02313
198,1284.9362
199,1824.681
200,1718.0188
201,2047.5712
202,2422.2275
203,2457.8408
204,2451.9883
205,2645.3044
206,2344.8608
207,1308.1343
208,822.3314
209,515.605
210,233.31921
211,52.491146
212,3.4283907
213,0.0
214,0.0
215,0.0
216,0.20823795
217,0.20824426
218,56.19233
219,165.20917
220,228.22147
221,386.4715
222,703.6588
223,1199.1935
224,2327.8926
225,1949.7501
226,1517.3792
227,1697.3026
228,1225.3446
229,1059.5791
230,924.84155
231,770.1809
232,534.2118
233,454.6324
234,250.92757
235,164.37943
236,16.19777
237,0.0
238,0.11551065
239,0.26009774
240,0.22767867
241,0.21942815
242,30.58466
243,144.97726
244,283.33057
245,883.9311
246,1287.784
247,2066.0469
248,2248.4863
249,1826.7632
250,1738.1016
251,1894.7849
252,2309.775
253,2435.6482
254,2238.8423
255,1978.2139
256,1555.6858
257,843.8618
258,438.97845
259,198.33496
260,58.422157
261,1.4686832
262,0.0
263,0.112218186
264,0.20661977
265,0.2561977
266,95.54448
267,175.4206
268,431.98407
269,885.45984
270,1298.3135
271,1597.2671
272,1959.3975
273,2181.13
274,2066.8794
275,1858.9548
276,1380.1931
277,1030.0264
278,1083.8538
279,881.8801
280,576.67944
281,373.8044
282,235.92268
283,101.3219
284,19.679768
285,0.0
286,0.0
287,0.07905616
288,0.13776614
289,0.9058343
290,95.213425
291,166.64253
292,394.62695
293,710.3025
294,1325.6094
295,1715.6367
296,1756.4265
297,2494.5254
298,2504.0786
299,2170.8403
300,1721.3762
