iter	RMSE
0	720.5177967
1	675.7249258
2	635.1731182
3	597.9056903
4	564.1813993
5	533.977691
6	506.8392546
7	481.9392498
8	459.3664623
9	439.6512427
10	422.0027808
11	406.1344908
12	391.7052822
13	379.0928349
14	368.1216137
15	358.2331566
16	349.1741218
17	341.1962707
18	334.2915595
19	327.9874075
20	322.7092443
21	317.9941388
22	313.8338565
23	309.7424545
24	306.5846516
25	303.4612951
26	300.6960904
27	298.3555364
28	295.9060071
29	293.9451699
30	292.1492744
31	290.5207698
32	289.1575313
33	287.8079734
34	286.6937297
35	285.6132852
36	284.7596962
37	283.8245296
38	282.9190032
39	282.1929884
40	281.5377533
41	280.7055151
42	279.8906333
43	279.2565823
44	278.5851596
45	278.1916236
46	277.680329
47	277.1059157
48	276.6177233
49	276.1223499
50	275.7429686
51	275.3721854
52	275.0382582
53	274.5284371
54	274.1577358
55	273.8000084
56	273.4924056
57	273.1610599
58	272.9311472
59	272.5857785
60	272.4358658
61	272.2133036
62	271.9869998
63	271.6369339
64	271.3938119
65	271.1463116
66	270.9430336
67	270.7943041
68	270.6642265
69	270.3793095
70	270.0484485
71	269.8365325
72	269.7611143
73	269.5253952
74	269.2898422
75	269.0289038
76	268.822633
77	268.5473498
78	268.3135692
79	268.1200801
80	267.9416012
81	267.6678742
82	267.5502366
83	267.4106001
84	267.1865696
85	266.9868239
86	266.7508865
87	266.5731743
88	266.2258574
89	266.0769979
90	265.9680355
91	265.7398466
92	265.6188416
93	265.4685956
94	265.3643181
95	265.1977927
96	265.010857
97	264.6972054
98	264.5132511
99	264.3565033
100	264.2424533
101	264.1109762
102	263.9585031
103	263.8027237
104	263.6895115
105	263.6242097
106	263.522341
107	263.324569
108	263.1478815
109	263.0114042
110	262.8307931
111	262.7394454
112	262.501936
113	262.2517212
114	262.1197057
115	261.8977753
116	261.7070624
117	261.3631152
118	261.2078642
119	261.0452093
120	260.8197822
121	260.7182216
122	260.4847369
123	260.3797929
124	260.1485202
125	260.0082247
126	259.8063118
127	259.6358949
128	259.40195
129	259.1681827
130	258.9302138
131	258.7669251
132	258.6988775
133	258.5907459
134	258.4046467
135	258.2430272
136	258.103939
137	258.0241597
138	257.8868169
139	257.7742075
140	257.6225153
141	257.4593897
142	257.176054
143	257.0408766
144	256.9050091
145	256.7603227
146	256.642223
147	256.506874
148	256.4175792
149	256.1771167
150	256.0345276
151	255.8910773
152	255.7957507
153	255.5156039
154	255.3773489
155	255.244081
156	254.9267351
157	254.6974504
158	254.5772786
159	254.4000072
160	254.2658328
161	254.0556035
162	253.9340514
163	253.7992489
164	253.5764956
165	253.4513352
166	253.3425376
167	253.2092654
168	253.0242886
169	252.8936531
170	252.7392318
171	252.5950784
172	252.4238625
173	252.28482
174	252.1608871
175	251.9825856
176	251.8062352
177	251.5527222
178	251.4490041
179	251.3580657
180	251.2532938
181	251.1708372
182	251.0065271
183	250.8740043
184	250.7408109
185	250.628846
186	250.3830098
187	250.3053213
188	250.1426878
189	249.9775174
190	249.8562146
191	249.7823934
192	249.6187359
193	249.493593
194	249.3851773
195	249.2560815
196	249.1294858
197	248.965038
198	248.8092721
199	248.7148612
200	248.6001294
201	248.50494
202	248.4266074
203	248.2824061
204	248.2006044
205	247.9979616
206	247.8490024
207	247.7345621
208	247.6189218
209	247.4863511
210	247.2609673
211	247.1105605
212	246.9785709
213	246.9267878
214	246.7553433
215	246.6566245
216	246.452508
217	246.1901985
218	246.12651
219	246.0417711
220	245.8882509
221	245.7871011
222	245.6699147
223	245.5446478
224	245.4331678
225	245.3012919
226	245.1961962
227	245.1252584
228	244.9733419
229	244.8154866
230	244.6899305
231	244.5884988
232	244.3700571
233	244.2309216
234	244.1396694
235	244.0605658
236	243.8686021
237	243.7352051
238	243.6699081
239	243.485957
240	243.3164622
241	243.1199995
242	243.0277409
243	242.9101497
244	242.8337595
245	242.728399
246	242.6267577
247	242.5467435
248	242.4341418
249	242.3157545
250	242.1980165
251	242.0689866
252	241.9594912
253	241.8026088
254	241.7563747
255	241.6224921
256	241.4258852
257	241.2858788
258	241.1909799
259	241.0676412
260	240.9705594
261	240.8215729
262	240.7132481
263	240.5904282
264	240.5509339
265	240.4880217
266	240.3978114
267	240.3119887
268	240.1712992
269	240.078842
270	239.9476382
271	239.7874025
272	239.6824634
273	239.5803323
274	239.3974513
275	239.250785
276	239.0694066
277	238.96261
278	238.7987443
279	238.6906769
280	238.5395259
281	238.4670703
282	238.3025388
283	238.1883326
284	238.0634221
285	237.9684956
286	237.885809
287	237.7945783
288	237.624975
289	237.491541
290	237.3725364
291	237.2553955
292	237.1795882
293	237.06872
294	236.9850324
295	236.8149995
296	236.6542815
297	236.5582601
298	236.45159
299	236.3121944
300	236.2144985
301	236.0851295
302	235.9575548
303	235.8184043
304	235.6982066
305	235.5922209
306	235.4445804
307	235.3705965
308	235.2779839
309	235.1890367
310	235.1198387
311	234.9786642
312	234.8295926
313	234.7026429
314	234.5626604
315	234.4391457
316	234.3577567
317	234.2158336
318	234.1059976
319	233.9992802
320	233.914904
321	233.8034981
322	233.6645032
323	233.5255373
324	233.4231722
325	233.3110552
326	233.2387732
327	233.0903653
328	233.0036485
329	232.8392089
330	232.7191974
331	232.6058941
332	232.5443275
333	232.4643664
334	232.3623044
335	232.2447488
336	232.162614
337	232.086115
338	231.9937599
339	231.8563581
340	231.7701879
341	231.6682434
342	231.5760993
343	231.4590381
344	231.398124
345	231.3096273
346	231.1920003
347	231.0853406
348	230.9567746
349	230.8755069
350	230.7477846
351	230.6383596
352	230.5342715
353	230.4305482
354	230.3370803
355	230.2138321
356	230.1308336
357	230.0759376
358	229.9775557
359	229.851884
360	229.7806197
361	229.6795139
362	229.5893518
363	229.5200351
364	229.4457782
365	229.2694299
366	229.1231856
367	229.0341998
368	228.9087581
369	228.8526119
370	228.7625368
371	228.6838282
372	228.5365256
373	228.4683849
374	228.3333313
375	228.2219431
376	228.1560634
377	228.0689562
378	227.9771859
379	227.9160692
380	227.785077
381	227.7197659
382	227.6011532
383	227.5514191
384	227.4467491
385	227.3123958
386	227.2066944
387	227.0967938
388	226.9897664
389	226.9204206
390	226.8725649
391	226.7930166
392	226.6836865
393	226.5938105
394	226.4741926
395	226.3467335
396	226.2624002
397	226.201598
398	226.0555771
399	225.9991117
400	225.9033109
401	225.8357043
402	225.723195
403	225.627374
404	225.5491183
405	225.4510077
406	225.3236088
407	225.2784546
408	225.1527351
409	224.9975545
410	224.8546606
411	224.7763598
412	224.6372437
413	224.5312728
414	224.4411521
415	224.3287063
416	224.2584961
417	224.1945829
