iter	Passed	Remaining
0	53	53198
1	58	28969
2	62	20759
3	66	16650
4	71	14198
5	74	12422
6	78	11193
7	83	10294
8	86	9557
9	90	8954
10	94	8508
11	98	8099
12	102	7746
13	106	7476
14	110	7227
15	114	7040
16	118	6874
17	122	6695
18	127	6577
19	131	6425
20	135	6295
21	139	6187
22	143	6100
23	147	6004
24	151	5904
25	155	5824
26	159	5753
27	163	5678
28	167	5625
29	172	5575
30	177	5535
31	181	5500
32	186	5476
33	191	5448
34	197	5443
35	201	5405
36	206	5362
37	210	5335
38	215	5304
39	220	5282
40	226	5296
41	231	5279
42	236	5270
43	241	5244
44	245	5217
45	250	5201
46	255	5187
47	260	5162
48	264	5129
49	268	5099
50	272	5078
51	277	5050
52	281	5022
53	285	4994
54	289	4977
55	294	4960
56	298	4933
57	302	4912
58	306	4890
59	311	4875
60	315	4856
61	319	4831
62	323	4809
63	327	4792
64	331	4771
65	335	4747
66	339	4728
67	343	4711
68	347	4685
69	351	4667
70	355	4652
71	359	4634
72	363	4618
73	367	4603
74	375	4629
75	379	4611
76	383	4600
77	388	4589
78	392	4580
79	397	4569
80	403	4574
81	407	4560
82	411	4544
83	415	4530
84	419	4518
85	423	4505
86	428	4493
87	435	4513
88	443	4539
89	447	4522
90	451	4511
91	456	4506
92	463	4522
93	472	4555
94	477	4546
95	481	4537
96	485	4523
97	490	4518
98	499	4545
99	504	4543
100	508	4529
101	513	4519
102	517	4508
103	521	4493
104	534	4552
105	539	4546
106	543	4538
107	548	4527
108	552	4515
109	562	4549
110	567	4545
111	572	4536
112	576	4523
113	581	4515
114	586	4516
115	597	4552
116	601	4539
117	606	4530
118	611	4524
119	615	4513
120	620	4507
121	625	4503
122	630	4493
123	634	4482
124	639	4473
125	642	4460
126	647	4454
127	652	4446
128	657	4437
129	662	4432
130	667	4429
131	673	4427
132	678	4425
133	685	4432
134	692	4434
135	697	4429
136	702	4424
137	707	4417
138	711	4410
139	716	4400
140	721	4394
141	726	4388
142	730	4380
143	736	4375
144	740	4366
145	744	4355
146	749	4350
147	754	4344
148	758	4334
149	764	4332
150	769	4326
151	774	4318
152	779	4313
153	784	4308
154	789	4302
155	793	4290
156	798	4288
157	803	4280
158	808	4275
159	812	4265
160	816	4256
161	821	4247
162	825	4239
163	829	4230
164	834	4222
165	838	4214
166	843	4206
167	847	4196
168	851	4189
169	856	4183
170	862	4179
171	865	4168
172	871	4166
173	878	4168
174	882	4161
175	887	4153
176	892	4148
177	896	4140
178	901	4134
179	906	4130
180	910	4121
181	915	4113
182	919	4105
183	924	4099
184	928	4091
185	933	4086
186	938	4079
187	942	4069
188	946	4060
189	950	4054
190	955	4046
191	959	4037
192	963	4029
193	967	4021
194	971	4011
195	975	4003
196	979	3993
197	983	3985
198	988	3977
199	992	3971
200	997	3964
201	1002	3959
202	1006	3952
203	1011	3946
204	1016	3943
205	1022	3940
206	1026	3934
207	1031	3928
208	1036	3922
209	1041	3919
210	1045	3910
211	1050	3904
212	1056	3903
213	1060	3895
214	1065	3891
215	1070	3886
216	1075	3882
217	1081	3878
218	1085	3870
219	1090	3865
220	1095	3860
221	1099	3854
222	1104	3849
223	1110	3848
224	1115	3841
225	1120	3836
226	1125	3831
227	1129	3824
228	1134	3819
229	1138	3812
230	1143	3807
231	1148	3802
232	1153	3797
233	1158	3792
234	1164	3790
235	1169	3786
236	1175	3783
237	1179	3776
238	1183	3768
239	1188	3764
240	1192	3756
241	1196	3748
242	1201	3741
243	1205	3735
244	1210	3729
245	1214	3722
246	1218	3716
247	1223	3710
248	1228	3703
249	1232	3697
250	1237	3693
251	1241	3686
252	1247	3683
253	1251	3676
254	1256	3669
255	1260	3662
256	1264	3656
257	1270	3653
258	1275	3648
259	1281	3647
260	1286	3641
261	1291	3637
262	1295	3631
263	1300	3626
264	1304	3618
265	1308	3610
266	1311	3601
267	1315	3593
268	1319	3586
269	1323	3578
270	1327	3570
271	1332	3565
272	1335	3557
273	1340	3551
274	1345	3545
275	1350	3541
276	1354	3534
277	1358	3529
278	1363	3522
279	1367	3516
280	1371	3509
281	1377	3506
282	1381	3500
283	1386	3494
284	1390	3487
285	1393	3480
286	1398	3473
287	1402	3467
288	1408	3465
289	1413	3461
290	1417	3454
291	1421	3447
292	1425	3439
293	1429	3433
294	1433	3426
295	1438	3422
296	1444	3419
297	1449	3414
298	1453	3407
299	1457	3400
300	1461	3393
301	1465	3386
302	1469	3381
303	1476	3381
304	1481	3374
305	1485	3368
306	1489	3361
307	1493	3354
308	1496	3347
309	1500	3339
310	1504	3333
311	1509	3327
312	1513	3321
313	1519	3318
314	1523	3312
315	1527	3306
316	1531	3299
317	1536	3294
318	1540	3287
319	1545	3284
320	1550	3279
321	1554	3273
322	1559	3268
323	1564	3263
324	1568	3257
325	1575	3256
326	1580	3252
327	1585	3247
328	1589	3242
329	1594	3236
330	1598	3231
331	1603	3225
332	1608	3220
333	1612	3215
334	1616	3209
335	1621	3203
336	1625	3197
337	1629	3190
338	1633	3184
339	1638	3180
340	1642	3173
341	1646	3167
342	1650	3161
343	1655	3156
344	1659	3150
345	1663	3144
346	1667	3138
347	1672	3132
348	1676	3126
349	1680	3121
350	1684	3114
351	1688	3108
352	1692	3102
353	1696	3096
354	1701	3090
355	1704	3084
356	1708	3077
357	1712	3071
358	1716	3065
359	1720	3059
360	1725	3053
361	1729	3047
362	1733	3041
363	1737	3035
364	1741	3029
365	1746	3024
366	1749	3018
367	1754	3013
368	1758	3007
369	1763	3003
370	1767	2997
371	1772	2991
372	1776	2985
373	1780	2979
374	1784	2974
375	1789	2969
376	1793	2963
377	1797	2957
378	1801	2952
379	1805	2945
380	1809	2940
381	1813	2934
382	1817	2928
383	1821	2922
384	1825	2916
385	1830	2910
386	1834	2906
387	1839	2900
388	1843	2895
389	1847	2889
390	1850	2882
391	1855	2877
392	1860	2873
393	1865	2868
394	1869	2863
395	1873	2857
396	1877	2851
397	1881	2846
398	1885	2840
399	1890	2835
400	1894	2829
401	1898	2823
402	1902	2818
403	1906	2812
404	1911	2808
405	1915	2801
406	1919	2796
407	1923	2791
408	1927	2785
409	1931	2779
410	1936	2774
